@relation du-lieu-ktdl-80

@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute n5 numeric
@attribute n6 numeric
@attribute n7 numeric
@attribute n8 numeric
@attribute n9 numeric
@attribute n10 numeric
@attribute n11 numeric
@attribute n12 numeric
@attribute n13 numeric
@attribute n14 numeric
@attribute n15 numeric
@attribute n16 numeric
@attribute n17 numeric
@attribute n18 numeric
@attribute n19 numeric
@attribute n20 numeric
@attribute n21 numeric
@attribute n22 numeric
@attribute n23 numeric
@attribute n24 numeric
@attribute n25 numeric
@attribute n26 numeric
@attribute n27 numeric
@attribute n28 numeric
@attribute n29 numeric
@attribute n30 numeric
@attribute n31 numeric
@attribute n32 numeric
@attribute n33 numeric
@attribute n34 numeric
@attribute n35 numeric
@attribute n36 numeric
@attribute n37 numeric
@attribute n38 numeric
@attribute n39 numeric
@attribute n40 numeric
@attribute n41 numeric
@attribute n42 numeric
@attribute n43 numeric
@attribute n44 numeric
@attribute loaihinh {dinosaur,elephant,flower,horse}

@data
0.881256,0.118744,0.500301,0.501705,0.486716,0.470814,0.036049,0.044183,0.035555,0.042807,0.063975,0.450324,0.554439,0.033937,0.045914,0.167226,0.486856,0.491711,0.035561,0.043741,0,0.128049,0,0.396861,0.154389,0.320701,0,0.862336,0,0.000681,0.117394,0.019589,0,0,0,0.654965,8580000000,0.344949,0,0.760109,0,0.078244,0.103488,0.058159,dinosaur
0.860484,0.139516,0.500736,0.493327,0.486055,0.527081,0.036064,0.043812,0.035531,0.045292,0.078773,0.507251,0.57397,0.036018,0.046716,0.171112,0.490568,0.547409,0.035696,0.046152,5940000000,0.130254,0,0.174425,0.224541,0.470721,0,0.925203,0,0,0.066604,0.008193,7290000000,0,0,0.291579,0.037842,0.670507,1020000000,0.796122,0,0.04068,0.062592,0.100596,dinosaur
0.856984,0.143016,0.509514,0.502791,0.433817,0.469552,0.036379,0.044231,0.033568,0.042748,0.079419,0.430596,0.495834,0.033185,0.04342,0.19577,0.454945,0.491101,0.034375,0.043713,0,0.14596,0,0.526111,0.132814,0.195116,0,0.908363,0,0.000237,0.072574,0.018826,0,0,0,0.827559,0.000143,0.172298,0,0.778698,0,0.118334,0.062235,0.040733,dinosaur
0.918742,0.081258,0.502948,0.49623,0.450526,0.518463,0.036144,0.043942,0.034208,0.044915,0.070464,0.482578,0.545695,0.035131,0.045551,0.125804,0.447428,0.536672,0.03409,0.045697,0,0.14005,0,0.461066,0.268133,0.130751,0,0.953508,0,0.001251,0.039727,0.005514,0,0,0,0.827323,0.019534,0.153143,0,0.876045,0,0.068361,0.038087,0.017507,dinosaur
0.913737,0.086263,0.494224,0.50559,0.545968,0.418038,0.035829,0.044354,0.037658,0.040338,0.06787,0.501014,0.471944,0.035796,0.042361,0.135966,0.54989,0.43754,0.037793,0.041261,0,0.166318,0,0.158911,0.32246,0.352312,0,0.779446,0,0,0.216891,0.003663,0,0,0,0.324764,0.120283,0.554953,0,0.712209,0,0.028015,0.208557,0.051219,dinosaur
0.734955,0.265045,0.492221,0.485917,0.51662,0.531642,0.035756,0.043482,0.036631,0.045485,0.078509,0.495137,0.585733,0.035585,0.047192,0.273041,0.52566,0.547063,0.036951,0.046137,0,0.084386,0,0.2295,0.099475,0.58664,0,0.907902,0,0,0.068347,0.023751,0,0,0,0.324914,0.009981,0.665106,0,0.667301,0,0.086105,0.052879,0.193715,dinosaur
0.942759,0.057241,0.497517,0.505746,0.517973,0.371083,0.035948,0.044361,0.036679,0.038009,0.062977,0.540116,0.413881,0.037167,0.039669,0.101247,0.523367,0.39789,0.03687,0.039347,0,0.220436,0,0.468904,0.215513,0.095147,0,0.963001,0,0.003129,0.027839,0.006032,0,0,0,0.921005,0.003232,0.075763,0,0.908404,0,0.055167,0.026444,0.009985,dinosaur
0.83017,0.16983,0.481402,0.476864,0.583181,0.601529,0.035361,0.043076,0.03892,0.048379,0.077745,0.495606,0.600221,0.035602,0.047772,0.211263,0.581898,0.598026,0.038877,0.048238,0,0.083542,0,0.252793,0.120329,0.543336,0,0.81121,0,0,0.16198,0.026811,0,0,0,0.369811,0.002216,0.627972,0,0.673442,0,0.062805,0.134847,0.128906,dinosaur
0.907471,0.092529,0.490908,0.501772,0.57498,0.461407,0.035708,0.044186,0.038645,0.042378,0.072813,0.528058,0.500265,0.036749,0.043613,0.135498,0.565812,0.496643,0.038336,0.043959,0,0.156907,0,0.097447,0.056081,0.689565,0,0.899235,0,0,0.060757,0.040008,0,0,0,0.223835,0,0.776165,0,0.81603,0,0.020711,0.055135,0.108124,dinosaur
0.740814,0.259186,0.490288,0.500887,0.522696,0.489889,0.035686,0.044148,0.036846,0.04366,0.075827,0.510952,0.513922,0.036149,0.044205,0.272644,0.536712,0.486519,0.037337,0.043509,0,0.065443,0,0.201888,0.059958,0.672711,0,0.935544,0,0,0.024126,0.04033,0,0,0,0.293732,0,0.706268,0,0.693064,0,0.076131,0.017873,0.212931,dinosaur
0.909129,0.090871,0.498916,0.506134,0.496404,0.41704,0.035999,0.044378,0.035908,0.040283,0.073527,0.47205,0.433514,0.034746,0.040599,0.154795,0.506482,0.444248,0.03627,0.041576,0,0.162187,0,0.244661,0.323783,0.26937,0,0.934129,0,0,0.05927,0.006602,0,0,0,0.503862,0.042315,0.453823,0,0.849243,0,0.045787,0.057729,0.047241,dinosaur
0.813599,0.186401,0.48945,0.501723,0.539007,0.481949,0.035655,0.044185,0.037417,0.043304,0.074261,0.545361,0.528688,0.037347,0.044835,0.215129,0.537948,0.498421,0.03738,0.044038,0,0.104643,0,0.226972,0.055088,0.613297,0,0.821305,0,0,0.141573,0.037122,0,0,0,0.34034,0,0.65966,0,0.66826,0,0.06342,0.115192,0.153128,dinosaur
0.872487,0.127513,0.492643,0.481066,0.540048,0.614151,0.035772,0.043265,0.037453,0.048884,0.071717,0.521569,0.606108,0.036523,0.048006,0.151194,0.543364,0.618276,0.037568,0.049048,0,0.106708,0,0.477293,0.173518,0.242481,0,0.952815,0,0.000431,0.032529,0.014224,0,0,0,0.771465,0.003272,0.225263,0,0.831345,0,0.098727,0.028799,0.041129,dinosaur
0.629954,0.370046,0.493737,0.463405,0.505357,0.558752,0.043831,0.034694,0.044344,0.038096,0.069652,0.420744,0.532818,0.039997,0.036915,0.459544,0.443976,0.55718,0.041563,0.038042,0,0.02083,0,0.289939,0.303376,0.385855,0,0.050204,0,9690000000,0.425307,0.524392,0,0,0,0.696134,0.000441,0.303425,0,0.031655,0,0.25727,0.268327,0.442749,elephant
0.623098,0.376902,0.481319,0.510915,0.527402,0.476747,0.035358,0.044588,0.037012,0.04307,0.062918,0.539356,0.503192,0.037141,0.043741,0.672302,0.535386,0.519258,0.037291,0.044949,0,0.109502,0,0.345423,0.347148,0.197927,0,0.273603,0,0.068617,0.535386,0.122394,0,0,0,0.782823,0.000812,0.216365,0,0.170686,0,0.337268,0.334304,0.157741,elephant
0.527059,0.472941,0.47259,0.48222,0.526395,0.51704,0.042882,0.035391,0.045258,0.036646,0.064337,0.527026,0.612679,0.044765,0.039585,0.538106,0.505852,0.550226,0.044365,0.037804,0,0.013517,0.003403,0.496748,0.156584,0.329748,0,0.058539,0.273991,0.000444,0.24751,0.419517,0,0,0.025027,0.749166,0.003597,0.22221,0,0.031049,0.15708,0.352037,0.132971,0.326863,elephant
0.452291,0.547709,0.518677,0.684005,0.482181,0.344466,0.036704,0.05159,0.03539,0.036611,0.073057,0.464653,0.511276,0.034473,0.044091,0.618764,0.50572,0.523371,0.036243,0.045127,0,0.014286,0,0.42736,0.41281,0.145544,0,0.032207,0,0.017003,0.759615,0.191174,0,0,0,0.829086,0.009812,0.161101,0,0.014602,0,0.460905,0.349757,0.174736,elephant
0.442881,0.557119,0.444668,0.476683,0.540462,0.516181,0.041596,0.035187,0.045858,0.036616,0.069701,0.502518,0.474001,0.043711,0.034818,0.504354,0.520359,0.462255,0.044997,0.03465,0,0.024203,0,0.19046,0.293243,0.492094,0,0.182052,0,0,0.479248,0.3387,0,0,0,0.237601,7340000000,0.762325,0,0.080879,0,0.132044,0.212953,0.574124,elephant
0.16981,0.83019,0.508301,0.210787,0.496721,0.556795,0.036335,0.028641,0.035919,0.046545,0.065042,0.531427,0.423635,0.036867,0.040134,0.505269,0.525573,0.551842,0.036947,0.046338,0,0.017495,0,0.909825,0.016066,0.056614,0,0.649614,0,0.187923,0.054873,0.10759,0,0,0,0.962273,0,0.037727,0,0.110548,0,0.830498,0.009338,0.049616,elephant
0.35908,0.64092,0.473901,0.537397,0.512575,0.475984,0.035084,0.045729,0.036488,0.043036,0.056136,0.492723,0.548919,0.035499,0.045685,0.768483,0.491763,0.493033,0.035739,0.043799,0,0.048355,0,0.551592,0.197909,0.202144,0,0.175472,0,0.104932,0.509759,0.209836,0,0,0,0.790545,0.000175,0.20928,0,0.063152,0,0.543795,0.183573,0.20948,elephant
0.623962,0.376038,0.518292,0.493375,0.466159,0.505773,0.036691,0.043815,0.034797,0.044362,0.05367,0.4967,0.523714,0.035642,0.044624,0.59844,0.476314,0.511013,0.035173,0.044591,0,0.017661,0,0.269578,0.398851,0.31391,0,0.020363,0,0.001761,0.525514,0.452362,0,0,0,0.647025,0.000353,0.352621,0,0.012728,0,0.243695,0.328612,0.414966,elephant
0.473785,0.526215,0.553643,0.618151,0.449208,0.38989,0.037921,0.049043,0.034158,0.03895,0.064572,0.453257,0.409896,0.034047,0.039478,0.492849,0.503302,0.570967,0.036156,0.047134,0,0.012818,0,0.253545,0.407501,0.326137,0,0.01795,0,0.004187,0.585937,0.391927,0,0,0,0.547385,0.022577,0.430037,0,0.008519,0,0.289572,0.289959,0.411949,elephant
0.591644,0.408356,0.43458,0.55092,0.591569,0.421417,0.033598,0.0463,0.039199,0.040494,0.076238,0.55291,0.437275,0.037604,0.040775,0.474721,0.482006,0.487113,0.035383,0.043536,0,0.051128,0,0.126149,0.37249,0.450232,0,0.149602,0,0,0.568749,0.281649,0,0,0,0.283986,0.003417,0.712597,0,0.088553,0,0.115889,0.338049,0.45751,elephant
0.403168,0.596832,0.414588,0.414081,0.555499,0.554751,0.032816,0.040141,0.037985,0.04646,0.068467,0.424038,0.469801,0.032932,0.042265,0.45754,0.449845,0.555538,0.034182,0.046493,0,0.062742,0,0.305305,0.297501,0.334452,0,0.2888,0,0.003583,0.526581,0.181036,0,0,0,0.526709,0.003379,0.469912,0,0.116526,0,0.315636,0.214483,0.353355,elephant
0.606669,0.393331,0.461787,0.471441,0.555602,0.539057,0.034633,0.04283,0.037989,0.045799,0.073302,0.58699,0.541042,0.038746,0.045356,0.425964,0.597557,0.551205,0.039397,0.046311,0,0.063213,0,0.223241,0.312557,0.400989,0,0.246588,0,0.0028,0.510648,0.239964,0,0,0,0.639008,0.001477,0.359515,0,0.149695,0,0.252789,0.310576,0.28694,elephant
0.53536,0.46464,0.496714,0.584825,0.500962,0.39804,0.035919,0.047703,0.036072,0.039356,0.06285,0.468353,0.458424,0.03461,0.04175,0.659108,0.516047,0.508413,0.036611,0.044477,0,0.040776,0,0.112466,0.336811,0.509947,0,0.098351,0,0,0.588508,0.313141,0,0,0,0.280548,0.000964,0.718488,0,0.05268,0,0.130276,0.315675,0.501369,elephant
0.362264,0.637736,0.523794,0.409906,0.484426,0.5481,0.036885,0.039938,0.035472,0.046181,0.054884,0.479754,0.514274,0.035028,0.04422,0.588328,0.481962,0.529573,0.035381,0.045393,0,0.023602,0,0.223653,0.20472,0.548025,0,0.07694,0,0,0.494749,0.428311,0,0,0,0.426196,0.002809,0.570995,0,0.027882,0,0.271749,0.181081,0.519288,elephant
0.396362,0.603638,0.5334,0.692055,0.475894,0.370639,0.037222,0.051892,0.035158,0.037977,0.073537,0.431394,0.603768,0.033216,0.047913,0.490072,0.528888,0.550262,0.037064,0.046272,0,0.029143,0,0.273497,0.233706,0.463654,0,0.0531,0,0.000693,0.40481,0.541397,0,0,0,0.570736,0,0.429264,0,0.021074,0,0.3445,0.160659,0.473767,elephant
0.68751,0.31249,0.489749,0.473648,0.518354,0.551693,0.035666,0.042931,0.036693,0.046332,0.072617,0.539525,0.540014,0.037146,0.045313,0.45816,0.509681,0.577594,0.036385,0.047407,4440000000,0.067031,0,0.192522,0.477808,0.262595,0,0.149264,0,0.008759,0.584671,0.257306,653000000,0,0,0.482284,0.006591,0.51106,2040000000,0.102693,0,0.156502,0.404306,0.336479,elephant
0.507599,0.492401,0.481194,0.453134,0.516721,0.544326,0.035353,0.041991,0.036635,0.046022,0.064915,0.447762,0.502089,0.03384,0.043693,0.440898,0.513876,0.539389,0.036534,0.045812,0,0.02095,0,0.320751,0.301024,0.357275,0,0.317602,0,0.036674,0.4952,0.150524,0,0,0,0.61015,0.011793,0.378057,0,0.161331,0,0.318844,0.257347,0.262478,elephant
0.859538,0.140462,0.512694,0.471142,0.412987,0.662605,0.036492,0.042817,0.032752,0.050776,0.072333,0.408157,0.67205,0.032309,0.05055,0.375061,0.506534,0.724831,0.036272,0.053107,0,0.036507,0,0.136561,0.664931,0.162002,0,0.199572,0,0,0.459288,0.34114,0,0,0,0.690293,0.089752,0.219955,0,0.171779,0,0.096132,0.407825,0.324264,elephant
0.53303,0.46697,0.443938,0.42799,0.559789,0.579387,0.041562,0.033342,0.046671,0.038793,0.06102,0.437693,0.533057,0.040795,0.036923,0.508138,0.445505,0.559337,0.041635,0.038116,0,0.022201,0,0.226317,0.331518,0.419963,0,0.228249,0,5730000000,0.469608,0.302086,0,0,0,0.558811,0.008998,0.432191,0,0.121668,0,0.260966,0.254527,0.362838,elephant
0.404073,0.595927,0.512675,0.482868,0.489203,0.508322,0.036491,0.043347,0.035646,0.044473,0.058172,0.541462,0.56846,0.037213,0.046491,0.589722,0.502889,0.55051,0.036141,0.046282,0,0.02308,0,0.20472,0.228024,0.544176,0,0.049821,0,0,0.461935,0.488243,0,0,0,0.368479,0.026966,0.604556,0,0.020144,0,0.219491,0.202838,0.557527,elephant
0.565755,0.434245,0.47589,0.527583,0.526891,0.461042,0.043032,0.037018,0.045279,0.034605,0.061313,0.450533,0.429137,0.041389,0.033129,0.63797,0.496587,0.545553,0.043957,0.037643,0,0.027569,0,0.260703,0.348274,0.363454,0,0.075626,0,3600000000,0.4959,0.428438,0,0,0,0.570995,0.031896,0.397109,0,0.042875,0,0.247294,0.29496,0.414871,elephant
0.53007,0.46993,0.49629,0.484878,0.501393,0.51288,0.035904,0.043437,0.036088,0.044672,0.061832,0.534218,0.524827,0.036963,0.044671,0.467519,0.506177,0.564028,0.036259,0.046847,0,0.028982,0,0.191453,0.257534,0.522031,0,0.06759,0,0,0.391475,0.540934,0,0,0,0.431602,0.0013,0.567097,0,0.035847,0,0.202697,0.208234,0.553221,elephant
0.390137,0.609863,0.561944,0.689863,0.458222,0.375322,0.038205,0.05181,0.034499,0.038216,0.073341,0.472266,0.57361,0.034754,0.046701,0.525513,0.482673,0.507532,0.035407,0.044439,0,0.041347,0,0.374739,0.241541,0.342373,0,0.105184,0,0.018513,0.498644,0.37766,0,0,0,0.625036,335000000,0.374931,0,0.041145,0,0.387779,0.195078,0.375998,elephant
0.697764,0.302236,0.476855,0.473296,0.549092,0.555154,0.035194,0.042914,0.037765,0.046478,0.067459,0.436583,0.537672,0.033415,0.045215,0.446849,0.475813,0.587487,0.035155,0.047811,0,0.015549,0,0.072962,0.501855,0.409634,0,0.019594,0,0.000175,0.586999,0.393233,0,0,0,0.219289,0.007224,0.773487,0,0.013684,0,0.066262,0.412132,0.507921,elephant
0.373993,0.626007,0.467292,0.485397,0.517445,0.505588,0.034839,0.043459,0.036661,0.044355,0.073948,0.481973,0.511631,0.035109,0.044106,0.101664,0.487028,0.548474,0.035567,0.046196,0.070542,0,0,0.218131,0.641885,0.069442,0.003645,0,0,2720000000,0.994587,0.001741,0.019119,0,0,0.954236,0.012388,0.014258,0.01333,0,0,0.597267,0.379828,0.009575,flower
0.091827,0.908173,0.671559,0.38523,0.481207,0.509444,0.041765,0.038717,0.035354,0.044523,0.067626,0.622774,0.422055,0.039909,0.040059,0.184163,0.661532,0.502527,0.041452,0.044219,0.030877,0.001105,0,0.494255,0.044741,0.429021,0,0.002437,0,0.243492,0.222665,0.531406,0.130047,0,0,0.602788,0.000818,0.266347,0.1181,0.000224,0,0.569781,0.021198,0.290696,flower
0.04011,0.95989,0.490769,0.463408,0.499019,0.499484,0.035703,0.042464,0.036002,0.044086,0.046575,0.496188,0.444498,0.035623,0.041111,0.134776,0.572901,0.47975,0.038575,0.043205,0.093667,0.000453,0,0.299872,0.155861,0.450147,0.030941,0.001522,0,0.144306,0.661172,0.162059,0.269668,0,0,0.386885,0.000403,0.343044,0.260079,6110000000,0,0.377142,0.026943,0.335775,flower
0.096507,0.903493,0.472519,0.439936,0.501483,0.504243,0.035033,0.041374,0.036091,0.044295,0.073263,0.452448,0.446365,0.034017,0.041197,0.134277,0.481498,0.498849,0.035364,0.044057,0.687803,0,0,0.192424,0.017879,0.101894,0.932434,0,0,0,0.034679,0.032887,0.323856,0,0,0.630003,0,0.04614,0.382993,0,0,0.568785,0.00337,0.044853,flower
0.294749,0.705251,0.463391,0.442069,0.51344,0.521428,0.034693,0.041474,0.036519,0.045044,0.07705,0.461932,0.518373,0.034372,0.044396,0.085968,0.484739,0.47842,0.035483,0.043145,0.00923,0.003077,0,0.17915,0.27263,0.535913,0,0.000897,0,0,0.523555,0.475548,0.001459,0,0,0.895224,0.003352,0.099965,0.001029,0.000265,0,0.631048,0.156861,0.210798,flower
0.270711,0.729289,0.522046,0.431685,0.490017,0.522667,0.036823,0.040984,0.035676,0.045097,0.07889,0.518789,0.468173,0.036426,0.042191,0.15508,0.499174,0.500646,0.036008,0.044136,0.312234,0,0,0.25182,0.273204,0.162742,0.091726,0,0,0,0.891816,0.016459,0.112923,0,0,0.783515,0,0.103562,0.107184,0,0,0.571376,0.241461,0.079978,flower
0.213338,0.786662,0.490006,0.463308,0.501042,0.507455,0.035675,0.042459,0.036075,0.044436,0.076992,0.482095,0.46469,0.035114,0.042034,0.138021,0.489265,0.466862,0.035648,0.042621,0.104437,0,0,0.283093,0.073482,0.538989,0.008917,0,0,0,0.14219,0.848894,0.043602,0,0,0.879566,0,0.076831,0.036194,0,0,0.691709,0.030369,0.241728,flower
0.2948,0.7052,0.510609,0.441264,0.493704,0.52177,0.036418,0.041436,0.03581,0.045059,0.07477,0.495552,0.524393,0.0356,0.044653,0.110433,0.48358,0.452713,0.035441,0.04197,0.002579,0,0,0.356209,0.30573,0.335483,0,0,0,0,0.550863,0.449137,0.000535,0,0,0.929766,0.003835,0.065863,0.000377,0,0,0.65504,0.16547,0.179113,flower
0.239614,0.760386,0.458873,0.467888,0.511235,0.507538,0.034523,0.042668,0.03644,0.04444,0.075357,0.411345,0.490069,0.032435,0.043167,0.234009,0.440904,0.475992,0.033841,0.043036,0.016475,0,0,0.045383,0.115632,0.822509,0.00034,0,0,0,0.411208,0.588453,0.006558,0,0,0.726658,0.001057,0.265726,0.005068,0,0,0.552482,0.099368,0.343082,flower
0.277283,0.722717,0.443699,0.463838,0.519786,0.511158,0.033948,0.042483,0.036744,0.044598,0.074085,0.494159,0.487363,0.03555,0.043047,0.141459,0.493883,0.479428,0.035816,0.043191,0,0,0,0.099957,0.00791,0.892133,0,0,0,0,0.007704,0.992296,0,0,0,0.773382,0,0.226618,0,0,0,0.557888,0.002147,0.439965,flower
0.309458,0.690542,0.489874,0.463253,0.502638,0.513625,0.035671,0.042456,0.036133,0.044706,0.079331,0.482998,0.50949,0.035147,0.044014,0.171682,0.509345,0.49934,0.036373,0.044079,0.377259,0,0,0.092789,0.373526,0.156426,0.21186,0,0,0,0.752671,0.035469,0.100877,0,0,0.820169,0,0.078954,0.135224,0,0,0.56634,0.232939,0.065496,flower
0.363759,0.636241,0.553713,0.425142,0.467228,0.539713,0.037924,0.040672,0.034837,0.045827,0.078469,0.544386,0.543397,0.037313,0.045455,0.144643,0.57092,0.504904,0.038508,0.044324,0.058162,0,0,0.110908,0.527252,0.303678,0.01731,0,0,0,0.869795,0.112895,0.01907,0,0,0.86422,0.000833,0.115877,0.018429,0,0,0.549561,0.317219,0.114791,flower
0.004272,0.995728,0.31036,0.392063,0.499498,0.498493,0.028392,0.039058,0.03602,0.044042,0.016138,0.37379,0.402787,0.030919,0.039134,0.061422,0.382105,0.522749,0.031504,0.0451,0.004472,0.000166,0,0.650381,0.006459,0.338523,0,0.004762,0,0.302381,0.111905,0.580952,0.072435,0,0,0.586212,0,0.341353,0.072125,2040000000,0,0.584999,0.000478,0.342377,flower
0.33197,0.66803,0.536084,0.372713,0.480104,0.560316,0.037315,0.038082,0.035313,0.046694,0.084469,0.543324,0.44792,0.037277,0.041269,0.128153,0.535499,0.434624,0.037295,0.041123,0.004604,0,0,0.216701,0.31251,0.466185,0,0,0,0,0.658332,0.341668,0.007128,0,0,0.881338,0.005644,0.10589,0.004754,0,0,0.587891,0.22296,0.184394,flower
0.122426,0.877574,0.488656,0.346685,0.500087,0.519153,0.035626,0.036728,0.036041,0.044945,0.075152,0.479753,0.400551,0.035028,0.039025,0.075226,0.48734,0.452488,0.035578,0.04196,0.057201,0,0,0.391346,0,0.551454,0.035397,0,0,0.090154,0,0.87445,0.065196,0,0,0.676164,0,0.25864,0.061546,0,0,0.604371,0,0.334083,flower
0.30481,0.69519,0.479204,0.453847,0.507231,0.517412,0.03528,0.042023,0.036297,0.04487,0.072832,0.498147,0.457998,0.035693,0.04173,0.157338,0.585771,0.476113,0.039006,0.043041,0.300252,0,0,0.48264,0.050818,0.16629,0.782773,0,0,0.011747,0.134161,0.071319,0.104979,0,0,0.807308,0,0.087712,0.311823,0,0,0.564525,0.040942,0.08271,flower
0.176066,0.823934,0.535965,0.309136,0.490722,0.538405,0.037311,0.034683,0.035702,0.045771,0.065257,0.445232,0.17989,0.033745,0.026153,0.596883,0.499757,0.530251,0.036029,0.045423,0,0.065546,0,0.650965,0.092661,0.190828,0,0.526808,0,0.005951,0.351687,0.115554,0,0,0,0.830064,0.003072,0.166865,0,0.092993,0,0.684589,0.06461,0.157807,horse
0.115774,0.884226,0.53132,0.624061,0.494415,0.481535,0.037149,0.049277,0.035836,0.043286,0.071139,0.51787,0.606704,0.036393,0.048029,0.660777,0.508086,0.515335,0.036328,0.044779,0,0.007882,0,0.743661,0.060209,0.188248,0,0.078903,0,0.06836,0.440032,0.412705,0,0,0,0.86782,0.000255,0.131926,0,0.00919,0,0.774701,0.051479,0.16463,horse
